"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149/주택임대차신고 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20230101 ~ 20230415"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"서울특별시 강남구 개포동","1282","1282","0000","개포래미안포레스트","59.92","202301","5","158,000","13","2020","개포로 264","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","1282","1282","0000","개포래미안포레스트","59.92","202301","14","166,000","13","2020","개포로 264","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","1282","1282","0000","개포래미안포레스트","59.92","202301","20","167,000","12","2020","개포로 264","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","1282","1282","0000","개포래미안포레스트","59.92","202302","21","169,000","10","2020","개포로 264","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","1282","1282","0000","개포래미안포레스트","59.92","202302","21","169,000","14","2020","개포로 264","","중개거래","서울 강남구, 서울 송파구"
"서울특별시 강남구 개포동","1282","1282","0000","개포래미안포레스트","49.92","202302","22","145,000","14","2020","개포로 264","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","1282","1282","0000","개포래미안포레스트","84.86","202302","23","223,000","11","2020","개포로 264","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","1282","1282","0000","개포래미안포레스트","59.92","202303","12","170,000","4","2020","개포로 264","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","1282","1282","0000","개포래미안포레스트","59.92","202303","15","130,000","14","2020","개포로 264","","직거래","-"
"서울특별시 강남구 개포동","1282","1282","0000","개포래미안포레스트","59.92","202303","18","172,000","9","2020","개포로 264","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","189","0189","0000","개포주공4단지","41.99","202301","27","370,000","4","1982","삼성로 14","20230224","직거래","-"
"서울특별시 강남구 개포동","187","0187","0000","개포주공5단지","74.25","202301","3","210,000","10","1983","삼성로4길 17","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","187","0187","0000","개포주공5단지","61.19","202302","5","199,000","12","1983","삼성로4길 17","","중개거래","서울 강남구"
